
[6.68, 10], [5.09, 10], [10.01, 10], [7.41, 10], 
[6.68, 10], [5.09, 10], [10.01, 10], [7.41, 10], 
[6.68, 10], [5.09, 10], [10.01, 10], [7.41, 10], 
[6.62, 11], [4.81, 11], [10.19, 11], [6.74, 11], 
[6.68, 10], [5.09, 10], [10.01, 10], [7.41, 10], 
[6.25, 11], [4.63, 11], [9.1, 11], [7.1, 11], 
[6.68, 10], [5.09, 10], [10.01, 10], [7.41, 10], 
[6.25, 11], [4.63, 11], [9.1, 11], [7.1, 11], 
[6.06, 12], [4.24, 12], [8.67, 12], [7.1, 11], 
[5.75, 13], [4.22, 13], [8.93, 13], [7.17, 12], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[5.12, 3], [3.39, 3], [6.67, 3], [4.94, 3], 
[4.84, 4], [4.04, 4], [8.0, 4], [4.71, 4], 
[5.07, 5], [3.23, 5], [7.2, 5], [4.71, 4], 
[4.89, 6], [3.69, 6], [7.2, 5], [4.71, 4], 
[4.48, 7], [3.69, 6], [7.2, 5], [4.71, 4], 
[4.17, 8], [3.45, 7], [8.0, 6], [4.57, 5], 
[3.93, 9], [3.45, 7], [8.0, 6], [4.57, 5], 
[3.94, 10], [3.27, 8], [7.43, 7], [4.57, 5], 
[3.94, 10], [3.27, 8], [7.43, 7], [4.57, 5], 
[3.76, 11], [2.91, 9], [7.0, 8], [4.57, 5], 
[3.78, 12], [2.82, 10], [7.0, 8], [4.57, 5], 
[3.64, 13], [2.56, 11], [6.67, 9], [4.57, 5], 
[3.95, 14], [2.85, 12], [7.2, 10], [5.81, 6], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[5.12, 3], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.45, 3], [3.39, 3], [8.01, 3], [7.41, 2], 
[6.84, 4], [4.04, 4], [6.01, 4], [8.94, 3], 
[5.87, 5], [4.04, 4], [6.01, 4], [8.94, 3], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[5.12, 3], [5.39, 3], [8.01, 3], [4.94, 3], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[5.12, 3], [5.09, 2], [10.01, 2], [7.41, 2], 
[4.84, 4], [3.39, 3], [8.01, 3], [7.41, 2], 
[5.07, 5], [3.39, 3], [8.01, 3], [7.41, 2], 
[4.89, 6], [3.39, 3], [8.01, 3], [7.41, 2], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[5.79, 3], [3.39, 3], [6.67, 3], [6.27, 3], 
[4.84, 4], [3.04, 4], [6.67, 3], [6.27, 3], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.45, 3], [5.09, 2], [10.01, 2], [7.41, 2], 
[6.45, 3], [5.09, 2], [10.01, 2], [7.41, 2], 
[5.84, 4], [4.06, 3], [8.01, 3], [7.41, 2], 
[5.07, 5], [3.54, 4], [7.01, 4], [6.27, 3], 
[5.56, 6], [3.23, 5], [7.01, 4], [6.27, 3], 
[5.05, 7], [3.02, 6], [7.01, 4], [6.27, 3], 
[6.68, 2], [5.09, 2], [10.01, 2], [7.41, 2], 
[5.12, 3], [3.39, 3], [6.67, 3], [4.94, 3], 
[5.84, 4], [3.04, 4], [6.0, 4], [4.71, 4], 
[5.07, 5], [2.43, 5], [6.4, 5], [4.57, 5], 
[5.23, 6], [2.02, 6], [6.0, 6], [4.57, 5], 
[5.05, 7], [1.73, 7], [5.14, 7], [5.14, 6], 
[4.67, 8], [1.76, 8], [6.5, 8], [6.69, 7], 
[4.6, 9], [1.76, 8], [6.5, 8], [6.69, 7], 
[4.34, 10], [1.79, 9], [6.5, 8], [6.69, 7], 
[4.13, 11], [1.81, 10], [6.22, 9], [6.35, 8], 
[4.45, 12], [1.65, 11], [7.2, 10], [7.42, 9], 
[4.42, 13], [1.51, 12], [6.55, 11], [7.08, 10], 
[4.25, 14], [1.55, 13], [6.34, 12], [6.44, 11], 
